rowID,SceneID,Season,Episode,SceneNumber,Scenetime,Character,Screentime,Laughtime,laughPercent,meanLaughPercent,sdLaughPercent,zLaughPercent,laughBin,laughBinFull
340,2_7_11,Season2,7,11,155,FNC,10,0,0,27.4106458,24.6512855,-1.1119358,1,1
341,2_7_12,Season2,7,12,210,Jerry,50,15,30,31.5546349,23.1302764,-0.0672121,2,2
342,2_7_12,Season2,7,12,210,Kramer,50,30,60,39.911779,26.3381431,0.76270453,2,2
343,2_7_12,Season2,7,12,210,Other,15,0,0,20.7191006,25.7339278,-0.8051278,1,1
344,2_7_13,Season2,7,13,710,George,145,5,3.44827586,31.3203712,21.9125952,-1.2719669,1,1
345,2_7_13,Season2,7,13,710,Elaine,160,65,40.625,23.8174973,21.6044789,0.77796381,2,2
346,2_7_13,Season2,7,13,710,FNC,150,25,16.6666667,27.4106458,24.6512855,-0.4358385,1,1
347,2_7_14,Season2,7,14,250,Jerry,45,5,11.1111111,31.5546349,23.1302764,-0.8838426,1,1
348,2_7_14,Season2,7,14,250,Kramer,55,30,54.5454545,39.911779,26.3381431,0.55560772,2,2
349,2_7_14,Season2,7,14,250,FNC,55,0,0,27.4106458,24.6512855,-1.1119358,1,1
350,2_7_14,Season2,7,14,250,Situation,NA,5,NA,NA,NA,NA,NA,S
351,2_7_15,Season2,7,15,560,George,125,20,16,31.3203712,21.9125952,-0.6991582,1,1
352,2_7_15,Season2,7,15,560,Elaine,125,15,12,23.8174973,21.6044789,-0.5469929,1,1
353,2_7_15,Season2,7,15,560,FNC,125,25,20,27.4106458,24.6512855,-0.300619,2,2
354,2_7_16,Season2,7,16,445,Jerry,70,5,7.14285714,31.5546349,23.1302764,-1.0554036,1,1
355,2_7_16,Season2,7,16,445,George,90,20,22.2222222,31.3203712,21.9125952,-0.4152018,1,1
356,2_7_16,Season2,7,16,445,Elaine,70,5,7.14285714,23.8174973,21.6044789,-0.771814,1,1
357,2_7_16,Season2,7,16,445,Kramer,60,15,25,39.911779,26.3381431,-0.5661667,1,1
358,2_7_16,Season2,7,16,445,FNC,15,5,33.3333333,27.4106458,24.6512855,0.24025877,2,2
359,2_7_17,Season2,7,17,85,Jerry,35,15,42.8571429,31.5546349,23.1302764,0.48864561,2,2
360,2_8_1,Season2,8,1,150,Jerry,55,40,72.7272727,31.5546349,23.1302764,1.78003225,3,3
361,2_8_2,Season2,8,2,60,Jerry,30,0,0,31.5546349,23.1302764,-1.3642135,1,1
362,2_8_3,Season2,8,3,30,Jerry,15,0,0,31.5546349,23.1302764,-1.3642135,1,1
363,2_8_4,Season2,8,4,570,Jerry,110,35,31.8181818,31.5546349,23.1302764,0.01139402,1,1
364,2_8_4,Season2,8,4,570,George,120,30,25,31.3203712,21.9125952,-0.2884355,1,1
365,2_8_4,Season2,8,4,570,Elaine,120,20,16.6666667,23.8174973,21.6044789,-0.3309883,1,1
366,2_8_4,Season2,8,4,570,Other,10,5,50,20.7191006,25.7339278,1.1378325,2,2
367,2_8_5,Season2,8,5,5,NA,NA,0,NA,NA,NA,NA,NA,NA
368,2_8_6,Season2,8,6,2320,Jerry,480,75,15.625,31.5546349,23.1302764,-0.6886919,1,1
369,2_8_6,Season2,8,6,2320,George,495,95,19.1919192,31.3203712,21.9125952,-0.5534923,1,1
370,2_8_6,Season2,8,6,2320,Elaine,210,25,11.9047619,23.8174973,21.6044789,-0.5514012,1,1
371,2_8_6,Season2,8,6,2320,Kramer,155,70,45.1612903,39.911779,26.3381431,0.19931213,2,2
372,2_8_6,Season2,8,6,2320,LoveInterest,140,15,10.7142857,16.4504236,21.8596278,-0.2624078,1,1
373,2_8_6,Season2,8,6,2320,Other,35,15,42.8571429,20.7191006,25.7339278,0.86026674,2,2
374,2_8_7,Season2,8,7,1080,Jerry,200,25,12.5,31.5546349,23.1302764,-0.8237962,1,1
375,2_8_7,Season2,8,7,1080,George,200,25,12.5,31.3203712,21.9125952,-0.8588837,1,1
376,2_8_7,Season2,8,7,1080,Kramer,200,10,5,39.911779,26.3381431,-1.3255217,1,1
377,2_8_7,Season2,8,7,1080,FNC,155,65,41.9354839,27.4106458,24.6512855,0.5892122,2,2
378,2_8_8,Season2,8,8,100,Elaine,25,10,40,23.8174973,21.6044789,0.74903462,2,2
379,2_8_8,Season2,8,8,100,LoveInterest,25,15,60,16.4504236,21.8596278,1.99223778,3,3
380,2_8_9,Season2,8,9,435,Jerry,75,30,40,31.5546349,23.1302764,0.36512167,2,2
381,2_8_9,Season2,8,9,435,George,75,0,0,31.3203712,21.9125952,-1.4293319,1,1
382,2_8_9,Season2,8,9,435,Elaine,15,0,0,23.8174973,21.6044789,-1.1024333,1,1
383,2_8_9,Season2,8,9,435,Kramer,75,5,6.66666667,39.911779,26.3381431,-1.2622421,1,1
384,2_8_9,Season2,8,9,435,FNC,75,10,13.3333333,27.4106458,24.6512855,-0.5710579,1,1
385,2_8_10,Season2,8,10,280,Jerry,45,10,22.2222222,31.5546349,23.1302764,-0.4034717,1,1
386,2_8_10,Season2,8,10,280,George,50,20,40,31.3203712,21.9125952,0.39610227,2,2
387,2_8_10,Season2,8,10,280,Kramer,45,5,11.1111111,39.911779,26.3381431,-1.0934965,1,1
388,2_8_10,Season2,8,10,280,Other,50,5,10,20.7191006,25.7339278,-0.4165357,1,1
389,2_8_11,Season2,8,11,110,Elaine,30,15,50,23.8174973,21.6044789,1.21190161,2,2
390,2_8_11,Season2,8,11,110,LoveInterest,30,5,16.6666667,16.4504236,21.8596278,0.00989235,1,1
391,2_8_12,Season2,8,12,85,Jerry,20,0,0,31.5546349,23.1302764,-1.3642135,1,1
392,2_8_12,Season2,8,12,85,Kramer,20,0,0,39.911779,26.3381431,-1.5153604,1,1
393,2_8_12,Season2,8,12,85,Other,20,5,25,20.7191006,25.7339278,0.16635235,2,2
394,2_8_13,Season2,8,13,460,Jerry,100,55,55,31.5546349,23.1302764,1.01362235,2,2
395,2_8_13,Season2,8,13,460,George,100,35,35,31.3203712,21.9125952,0.167923,2,2
396,2_8_13,Season2,8,13,460,Elaine,55,5,9.09090909,23.8174973,21.6044789,-0.6816451,1,1
397,2_8_13,Season2,8,13,460,Other,5,5,100,20.7191006,25.7339278,3.0807928,3,3
398,2_8_14,Season2,8,14,115,Jerry,45,25,55.5555556,31.5546349,23.1302764,1.03764089,2,2
399,2_9_1,Season2,9,1,135,Jerry,50,35,70,31.5546349,23.1302764,1.66212303,3,3
400,2_9_2,Season2,9,2,1250,Jerry,355,105,29.5774648,31.5546349,23.1302764,-0.0854797,2,2
401,2_9_2,Season2,9,2,1250,Elaine,355,60,16.9014085,23.8174973,21.6044789,-0.3201229,1,1
402,2_9_2,Season2,9,2,1250,Situation,NA,20,NA,NA,NA,NA,NA,S
403,2_9_3,Season2,9,3,100,Jerry,25,0,0,31.5546349,23.1302764,-1.3642135,1,1
404,2_9_3,Season2,9,3,100,Elaine,15,0,0,23.8174973,21.6044789,-1.1024333,1,1
405,2_9_3,Season2,9,3,100,Kramer,25,10,40,39.911779,26.3381431,0.00334955,2,2
406,2_9_4,Season2,9,4,910,Jerry,250,25,10,31.5546349,23.1302764,-0.9318797,1,1
407,2_9_4,Season2,9,4,910,George,250,135,54,31.3203712,21.9125952,1.03500423,2,2
408,2_9_5,Season2,9,5,420,Jerry,110,15,13.6363636,31.5546349,23.1302764,-0.7746674,1,1
409,2_9_5,Season2,9,5,420,Elaine,110,20,18.1818182,23.8174973,21.6044789,-0.260857,1,1
410,2_9_5,Season2,9,5,420,FNC,35,20,57.1428571,27.4106458,24.6512855,1.206112,3,3
411,2_9_6,Season2,9,6,380,Jerry,95,45,47.3684211,31.5546349,23.1302764,0.68368341,2,2
412,2_9_6,Season2,9,6,380,George,100,40,40,31.3203712,21.9125952,0.39610227,2,2
413,2_9_7,Season2,9,7,70,Jerry,25,20,80,31.5546349,23.1302764,2.09445682,3,3
414,2_9_8,Season2,9,8,930,Jerry,235,65,27.6595745,31.5546349,23.1302764,-0.1683966,1,1
415,2_9_8,Season2,9,8,930,Elaine,235,40,17.0212766,23.8174973,21.6044789,-0.3145746,1,1
416,2_9_8,Season2,9,8,930,Kramer,85,30,35.2941176,39.911779,26.3381431,-0.1753222,1,1
417,2_9_8,Season2,9,8,930,Situation,NA,5,NA,NA,NA,NA,NA,S
418,2_9_9,Season2,9,9,345,Jerry,95,20,21.0526316,31.5546349,23.1302764,-0.4540371,1,1
419,2_9_9,Season2,9,9,345,George,95,40,42.1052632,31.3203712,21.9125952,0.49217776,2,2
420,2_9_10,Season2,9,10,190,Jerry,45,5,11.1111111,31.5546349,23.1302764,-0.8838426,1,1
421,2_9_10,Season2,9,10,190,Elaine,40,5,12.5,23.8174973,21.6044789,-0.5238496,1,1
422,2_9_10,Season2,9,10,190,Kramer,45,5,11.1111111,39.911779,26.3381431,-1.0934965,1,1
423,2_9_11,Season2,9,11,85,Jerry,30,25,83.3333333,31.5546349,23.1302764,2.23856808,3,3
424,2_10_1,Season2,10,1,185,Jerry,70,45,64.2857143,31.5546349,23.1302764,1.41507515,3,3
425,2_10_2,Season2,10,2,1210,Jerry,270,50,18.5185185,31.5546349,23.1302764,-0.5635954,1,1
426,2_10_2,Season2,10,2,1210,George,240,90,37.5,31.3203712,21.9125952,0.28201264,2,2
427,2_10_2,Season2,10,2,1210,Elaine,270,20,7.40740741,23.8174973,21.6044789,-0.7595689,1,1
428,2_10_3,Season2,10,3,570,Jerry,140,10,7.14285714,31.5546349,23.1302764,-1.0554036,1,1
429,2_10_3,Season2,10,3,570,Kramer,140,85,60.7142857,39.911779,26.3381431,0.78982435,3,3
430,2_10_3,Season2,10,3,570,Other,45,5,11.1111111,20.7191006,25.7339278,-0.3733588,2,2
431,2_10_3,Season2,10,3,570,Situation,NA,5,NA,NA,NA,NA,NA,S
432,2_10_4,Season2,10,4,325,Jerry,75,5,6.66666667,31.5546349,23.1302764,-1.075991,1,1
433,2_10_4,Season2,10,4,325,Kramer,60,15,25,39.911779,26.3381431,-0.5661667,1,1
434,2_10_4,Season2,10,4,325,Other,75,10,13.3333333,20.7191006,25.7339278,-0.2870051,2,2
435,2_10_4,Season2,10,4,325,Situation,NA,10,NA,NA,NA,NA,NA,S
436,2_10_5,Season2,10,5,140,Jerry,40,15,37.5,31.5546349,23.1302764,0.25703822,2,2
437,2_10_5,Season2,10,5,140,Other,35,5,14.2857143,20.7191006,25.7339278,-0.2499963,2,2
438,2_10_5,Season2,10,5,140,Situation,NA,5,NA,NA,NA,NA,NA,S
439,2_10_6,Season2,10,6,65,Jerry,25,15,60,31.5546349,23.1302764,1.22978924,3,3
440,2_10_7,Season2,10,7,350,Jerry,100,30,30,31.5546349,23.1302764,-0.0672121,2,2
441,2_10_7,Season2,10,7,350,George,100,15,15,31.3203712,21.9125952,-0.7447941,1,1
442,2_10_8,Season2,10,8,430,Elaine,100,15,15,23.8174973,21.6044789,-0.4081328,2,2
443,2_10_8,Season2,10,8,430,Kramer,55,25,45.4545455,39.911779,26.3381431,0.21044636,2,2
444,2_10_8,Season2,10,8,430,Other,100,30,30,20.7191006,25.7339278,0.36064838,2,2
445,2_10_8,Season2,10,8,430,Situation,NA,5,NA,NA,NA,NA,NA,S
446,2_10_9,Season2,10,9,160,Jerry,50,0,0,31.5546349,23.1302764,-1.3642135,1,1
447,2_10_9,Season2,10,9,160,George,50,10,20,31.3203712,21.9125952,-0.5166148,1,1
448,2_10_10,Season2,10,10,1275,Jerry,125,5,4,31.5546349,23.1302764,-1.19128,1,1
449,2_10_10,Season2,10,10,1275,George,170,35,20.5882353,31.3203712,21.9125952,-0.4897702,1,1
450,2_10_10,Season2,10,10,1275,Elaine,185,25,13.5135135,23.8174973,21.6044789,-0.4769374,1,1
451,2_10_10,Season2,10,10,1275,Kramer,95,20,21.0526316,39.911779,26.3381431,-0.7160394,1,1
452,2_10_10,Season2,10,10,1275,Other,265,50,18.8679245,20.7191006,25.7339278,-0.0719352,2,2
453,2_10_10,Season2,10,10,1275,Situation,NA,10,NA,NA,NA,NA,NA,S
454,2_10_11,Season2,10,11,210,Jerry,40,5,12.5,31.5546349,23.1302764,-0.8237962,1,1
455,2_10_11,Season2,10,11,210,George,40,10,25,31.3203712,21.9125952,-0.2884355,2,2
456,2_10_11,Season2,10,11,210,Elaine,40,10,25,23.8174973,21.6044789,0.05473415,2,2
457,2_10_11,Season2,10,11,210,Kramer,10,5,50,39.911779,26.3381431,0.38302704,2,2
458,2_10_11,Season2,10,11,210,Situation,NA,5,NA,NA,NA,NA,NA,S
459,2_10_12,Season2,10,12,190,Jerry,70,45,64.2857143,31.5546349,23.1302764,1.41507515,3,3
460,2_10_12,Season2,10,12,190,Kramer,NA,5,NA,39.911779,26.3381431,NA,NA,A
461,2_11_1,Season2,11,1,130,Jerry,45,35,77.7777778,31.5546349,23.1302764,1.99838264,3,3
462,2_11_1,Season2,11,1,130,Other,5,0,0,20.7191006,25.7339278,-0.8051278,1,1
463,2_11_2,Season2,11,2,5255,Jerry,1075,225,20.9302326,31.5546349,23.1302764,-0.4593288,1,1
464,2_11_2,Season2,11,2,5255,George,915,200,21.8579235,31.3203712,21.9125952,-0.4318269,1,1
465,2_11_2,Season2,11,2,5255,Elaine,955,175,18.3246073,23.8174973,21.6044789,-0.2542477,1,1
466,2_11_2,Season2,11,2,5255,FNC,70,0,0,27.4106458,24.6512855,-1.1119358,1,1
467,2_11_2,Season2,11,2,5255,Other,330,100,30.3030303,20.7191006,25.7339278,0.3724239,2,2
468,2_11_2,Season2,11,2,5255,Situation,NA,15,NA,NA,NA,NA,NA,S
469,2_11_3,Season2,11,3,110,Jerry,40,30,75,31.5546349,23.1302764,1.87828993,3,3
470,2_12_1,Season2,12,1,140,Jerry,55,30,54.5454545,31.5546349,23.1302764,0.99397081,3,3
471,2_12_2,Season2,12,2,880,Jerry,185,40,21.6216216,31.5546349,23.1302764,-0.4294377,1,1
472,2_12_2,Season2,12,2,880,George,185,40,21.6216216,31.3203712,21.9125952,-0.4426107,1,1
473,2_12_2,Season2,12,2,880,Elaine,185,10,5.40540541,23.8174973,21.6044789,-0.8522349,1,1
474,2_12_2,Season2,12,2,880,Other,50,0,0,20.7191006,25.7339278,-0.8051278,1,1
475,2_12_3,Season2,12,3,440,Jerry,110,25,22.7272727,31.5546349,23.1302764,-0.3816367,1,1
476,2_12_3,Season2,12,3,440,George,100,10,10,31.3203712,21.9125952,-0.9729734,1,1
477,2_12_3,Season2,12,3,440,Elaine,70,5,7.14285714,23.8174973,21.6044789,-0.771814,1,1
478,2_12_3,Season2,12,3,440,Kramer,10,0,0,39.911779,26.3381431,-1.5153604,1,1
479,2_12_4,Season2,12,4,905,George,205,40,19.5121951,31.3203712,21.9125952,-0.5388762,1,1
480,2_12_4,Season2,12,4,905,Kramer,205,65,31.7073171,39.911779,26.3381431,-0.3115049,2,2
481,2_12_4,Season2,12,4,905,Other,155,20,12.9032258,20.7191006,25.7339278,-0.3037187,2,2
482,2_12_4,Season2,12,4,905,Situation,NA,5,NA,NA,NA,NA,NA,S
483,2_12_5,Season2,12,5,450,George,85,20,23.5294118,31.3203712,21.9125952,-0.3555471,1,1
484,2_12_5,Season2,12,5,450,Kramer,95,50,52.6315789,39.911779,26.3381431,0.48294217,2,2
485,2_12_5,Season2,12,5,450,Other,95,0,0,20.7191006,25.7339278,-0.8051278,1,1
